Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\step_kp.csv,
Starttime of export,134076221129480000,Friday, November 14, 2025,11:28:32.948
Endtime of export,134076221229480000,Friday, November 14, 2025,11:28:42.948


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]
6.8,0,0,0,0,0,1.16648898983118E-320
7,0,0,0,0,0,1.16648898983118E-320
7.2,0,0,0,0,0,1.16648898983118E-320
7.4,0,0,0,0,0,1.16648898983118E-320
7.6,0,0,0,0,0,1.16648898983118E-320
7.8,0,0,0,0,0,1.16648898983118E-320
8,0,0,0,0,0,1.16648898983118E-320
8.2,0,0,0,0,0,1.16648898983118E-320
8.4,0,0,0,0,0,1.16648898983118E-320
8.6,0,0,0,0,0,1.16648898983118E-320
8.8,0,0,0,0,0,1.16648898983118E-320
9,0,0,0,0,0,1.16648898983118E-320
9.2,0,0,0,0,0,1.16648898983118E-320
9.4,0,0,0,0,0,1.16648898983118E-320
9.6,0,0,0,0,0,1.16648898983118E-320
9.8,0,0,0,0,0,1.16648898983118E-320
10,0,0,0,0,0,1.16648898983118E-320
10.2,0,0,0,0,0,1.16648898983118E-320
10.4,0,0,0,0,0,1.16648898983118E-320
10.6,0,0,0,0,0,1.16648898983118E-320
10.8,0,0,0,0,0,1.16648898983118E-320
11,0,0,0,0,0,1.16648898983118E-320
11.2,0,0,0,0,0,1.16648898983118E-320
11.4,0,0,0,0,0,1.16648898983118E-320
11.6,0,0,0,0,0,1.16648898983118E-320
11.8,0,0,0,0,0,1.16648898983118E-320
12,0,0,0,0,0,1.16648898983118E-320
12.2,0,0,0,0,0,1.16648898983118E-320
12.4,0,0,0,0,0,1.16648898983118E-320
12.6,0,0,0,0,0,1.16648898983118E-320
12.8,0,0,0,0,0,1.16648898983118E-320
13,0,0,0,0,0,1.16648898983118E-320
13.2,0,0,0,0,0,1.16648898983118E-320
13.4,0,0,0,0,0,1.16648898983118E-320
13.6,0,0,0,0,0,1.16648898983118E-320
13.8,0,0,0,0,0,1.16648898983118E-320
14,0,0,0,0,0,1.16648898983118E-320
14.2,0,0,0,0,0,1.16648898983118E-320
14.4,0,0,0,0,0,1.16648898983118E-320
14.6,0,0,0,0,0,1.16648898983118E-320
14.8,0,0,0,0,0,1.16648898983118E-320
15,0,0,0,0,0,1.16648898983118E-320
15.2,0,0,0,0,0,1.16648898983118E-320
15.4,0,0,0,0,0,1.16648898983118E-320
15.6,0,0,0,0,0,1.16648898983118E-320
15.8,0,0,0,0,0,1.16648898983118E-320
16,0,0,0,0,0,1.16648898983118E-320
16.2,0,0,0,0,0,1.16648898983118E-320
16.4,0,0,0,0,0,1.16648898983118E-320
16.6,0,0,0,0,0,1.16648898983118E-320
16.8,0,0,0,0,0,1.16648898983118E-320
17,0,0,0,0,0,1.16648898983118E-320
17.2,0,0,0,0,0,1.16648898983118E-320
17.4,0,0,0,0,0,1.16648898983118E-320
17.6,0,0,0,0,0,1.16648898983118E-320
17.8,0,0,0,0,0,1.16648898983118E-320
18,0,0,0,0,0,1.16648898983118E-320
18.2,0,0,0,0,0,1.16648898983118E-320
18.4,0,0,0,0,0,1.16648898983118E-320
18.6,0,0,0,0,0,1.16648898983118E-320
18.8,0,0,0,0,0,1.16648898983118E-320
19,0,0,0,0,0,1.16648898983118E-320
19.2,0,0,0,0,0,1.16648898983118E-320
19.4,0,0,0,0,0,1.16648898983118E-320
19.6,0,0,0,0,0,1.16648898983118E-320
19.8,0,0,0,0,0,1.16648898983118E-320
20,0,0,0,0,0,1.16648898983118E-320
20.2,0,0,0,0,0,1.16648898983118E-320
20.4,0,0,0,0,0,1.16648898983118E-320
20.6,0,0,0,0,0,1.16648898983118E-320
20.8,0,0,0,0,0,1.16648898983118E-320
21,0,0,0,0,0,1.16648898983118E-320
21.2,0,0,0,0,0,1.16648898983118E-320
21.4,0,0,0,0,0,1.16648898983118E-320
21.6,0,0,0,0,0,1.16648898983118E-320
21.8,0,0,0,0,0,1.16648898983118E-320
22,0,0,0,0,0,1.16648898983118E-320
22.2,0,0,0,0,0,1.16648898983118E-320
22.4,0,0,0,0,0,1.16648898983118E-320
22.6,0,0,0,0,0,1.16648898983118E-320
22.8,0,0,0,0,0,1.16648898983118E-320
23,0,0,0,0,0,1.16648898983118E-320
23.2,0,0,0,0,0,1.16648898983118E-320
23.4,0,0,0,0,0,1.16648898983118E-320
23.6,0,0,0,0,0,1.16648898983118E-320
