Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Ryan\LeadLag_step.csv,
Starttime of export,134076226552276000,Friday, November 14, 2025,11:37:35.227
Endtime of export,134076226652310000,Friday, November 14, 2025,11:37:45.231


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]
15.2,0,0,0,-3.09164285118705E-08,0,1.2823295047962664E-61
15.4,0,0,0,-3.0310224031245586E-08,0,9.78459953896677E-62
15.6,0,0,0,-2.9715905912985866E-08,0,7.4659740557992882E-62
15.8,0,0,0,-2.9133241091162613E-08,0,5.6967858909179395E-62
16,0,0,0,-2.8562001069767267E-08,0,4.3468366276672422E-62
16.2,0,0,0,-2.8001961833105164E-08,0,3.3167805547603123E-62
16.4,0,0,0,-2.7452903757946237E-08,0,2.5308135986559725E-62
16.6,0,0,0,-2.691461152739827E-08,0,1.9310947364152204E-62
16.8,0,0,0,-2.6386874046468892E-08,0,1.4734893486391017E-62
17,0,0,0,-2.5869484359283226E-08,0,1.1243212565445277E-62
17.2,0,0,0,-2.5362239567924731E-08,0,8.5789441850080059E-63
17.4,0,0,0,-2.4864940752867383E-08,0,6.5460190226838331E-63
17.6,0,0,0,-2.437739289496802E-08,0,4.9948296808156257E-63
17.8,0,0,0,-2.3899404798988253E-08,0,3.8112207517123965E-63
18,0,0,0,-2.3430789018615933E-08,0,2.9080878721596955E-63
18.2,0,0,0,-2.2971361782956798E-08,0,2.2189675233066867E-63
18.4,0,0,0,-2.2520942924467447E-08,0,1.69314583531932E-63
18.6,0,0,0,-2.2079355808301419E-08,0,1.2919264430635568E-63
18.8,0,0,0,-2.1646427263040607E-08,0,9.8578273617645789E-64
19,0,0,0,-2.1221987512784908E-08,0,7.5218493139530664E-64
