Time,X_Traj,Y_Traj,X_ActPos,Y_ActPos,X_ActVelo,Y_ActVelo,XY Position X,XY Position Y
11.7,0.053824,0.040368,0.0006,0.0003,0.048802555,0.020205859,0.0006,0.0003
11.8,0.054756,0.041067,0.0006,0.0003,0.048319361,0.020005801,0.0006,0.0003
11.9,0.055696,0.041772,0.0006,0.0003,0.047840952,0.019807724,0.0006,0.0003
12,0.056644,0.042483,0.0006,0.0003,0.047367279,0.019611608,0.0006,0.0003
12.1,0.0576,0.0432,0.0007,0.0003,0.056799286,0.019417433,0.0007,0.0003
12.2,0.058564,0.043923,0.0007,0.0003,0.056236917,0.019225182,0.0007,0.0003
12.3,0.059536,0.044652,0.0007,0.0003,0.055680116,0.019034833,0.0007,0.0003
12.4,0.060516,0.045387,0.0007,0.0003,0.055128828,0.01884637,0.0007,0.0003
12.5,0.061504,0.046128,0.0007,0.0004,0.054582998,0.028560762,0.0007,0.0004
12.6,0.0625,0.046875,0.0008,0.0004,0.063943562,0.028277982,0.0008,0.0004
12.7,0.063504,0.047628,0.0008,0.0004,0.063310457,0.027998002,0.0008,0.0004
12.8,0.064516,0.048387,0.0008,0.0004,0.062683621,0.027720794,0.0008,0.0004
12.9,0.065536,0.049152,0.0008,0.0004,0.062062991,0.027446331,0.0008,0.0004
13,0.066564,0.049923,0.0009,0.0004,0.071349496,0.027174585,0.0009,0.0004
13.1,0.0676,0.0507,0.0009,0.0004,0.070643066,0.02690553,0.0009,0.0004
13.2,0.068644,0.051483,0.0009,0.0004,0.069943629,0.026639138,0.0009,0.0004
13.3,0.069696,0.052272,0.0009,0.0004,0.069251118,0.026375384,0.0009,0.0004
13.4,0.070756,0.053067,0.001,0.0004,0.078466454,0.026114242,0.001,0.0004
13.5,0.071824,0.053868,0.001,0.0004,0.077689558,0.025855685,0.001,0.0004
13.6,0.0729,0.054675,0.001,0.0005,0.076920355,0.035500678,0.001,0.0005
13.7,0.073984,0.055488,0.0011,0.0005,0.086059757,0.035149187,0.0011,0.0005
13.8,0.075076,0.056307,0.0011,0.0005,0.08520768,0.034801175,0.0011,0.0005
13.9,0.076176,0.057132,0.0011,0.0005,0.08436404,0.034456609,0.0011,0.0005
14,0.077284,0.057963,0.0012,0.0005,0.093429742,0.034115454,0.0012,0.0005
14.1,0.0784,0.0588,0.0013,0.0005,0.102405685,0.033777677,0.0013,0.0005
14.2,0.079524,0.059643,0.0013,0.0006,0.101391768,0.043344235,0.0013,0.0006
14.3,0.080656,0.060492,0.0014,0.0006,0.110288879,0.042915084,0.0014,0.0006
14.4,0.081796,0.061347,0.0014,0.0006,0.10919691,0.042490182,0.0014,0.0006
14.5,0.082944,0.062208,0.0015,0.0006,0.118016742,0.042069488,0.0015,0.0006
14.6,0.0841,0.063075,0.0015,0.0006,0.11684826,0.041652958,0.0015,0.0006
14.7,0.085264,0.063948,0.0016,0.0006,0.125592337,0.041240552,0.0016,0.0006
14.8,0.086436,0.064827,0.0016,0.0007,0.124348848,0.05073322,0.0016,0.0007
14.9,0.087616,0.065712,0.0017,0.0007,0.133018661,0.050230911,0.0017,0.0007
15,0.088804,0.066603,0.0018,0.0007,0.141602635,0.049733575,0.0018,0.0007
15.1,0.09,0.0675,0.0018,0.0007,0.140200629,0.049241164,0.0018,0.0007
15.2,0.091204,0.068403,0.0019,0.0007,0.148713494,0.048753627,0.0019,0.0007
15.3,0.092416,0.069312,0.0019,0.0007,0.147241083,0.048270918,0.0019,0.0007
15.4,0.093636,0.070227,0.002,0.0008,0.155684241,0.057693978,0.002,0.0008
15.5,0.094864,0.071148,0.0021,0.0008,0.164043803,0.057122751,0.0021,0.0008
15.6,0.0961,0.072075,0.0021,0.0008,0.162419607,0.056557179,0.0021,0.0008
15.7,0.097344,0.073008,0.0022,0.0008,0.170712482,0.055997207,0.0022,0.0008
15.8,0.098596,0.073947,0.0022,0.0009,0.169022259,0.065343769,0.0022,0.0009
15.9,0.099856,0.074892,0.0023,0.0009,0.177249761,0.064696801,0.0023,0.0009
16,0.101124,0.075843,0.0023,0.0009,0.175494813,0.064056239,0.0023,0.0009
16.1,0.1024,0.0768,0.0024,0.001,0.183658231,0.073323009,0.0024,0.001
16.2,0.103684,0.077763,0.0024,0.001,0.181839833,0.072597039,0.0024,0.001
16.3,0.104976,0.078732,0.0025,0.0011,0.189940428,0.081779246,0.0025,0.0011
16.4,0.106276,0.079707,0.0025,0.0011,0.18805983,0.080969551,0.0025,0.0011
16.5,0.107584,0.080688,0.0026,0.0011,0.196098842,0.080167872,0.0026,0.0011
16.6,0.1089,0.081675,0.0027,0.0012,0.204058259,0.089275121,0.0027,0.0012
16.7,0.110224,0.082668,0.0028,0.0013,0.21193887,0.098292199,0.0028,0.0013
16.8,0.111556,0.083667,0.0029,0.0013,0.219741456,0.097319009,0.0029,0.0013
16.9,0.112896,0.084672,0.0029,0.0014,0.217565798,0.106256444,0.0029,0.0014
17,0.114244,0.085683,0.003,0.0015,0.225312671,0.11510539,0.003,0.0015
17.1,0.1156,0.0867,0.0031,0.0016,0.232982843,0.123866723,0.0031,0.0016
17.2,0.116964,0.087723,0.0032,0.0017,0.240577072,0.13254131,0.0032,0.0017
17.3,0.118336,0.088752,0.0033,0.0018,0.248096111,0.14113001,0.0033,0.0018
17.4,0.119716,0.089787,0.0034,0.002,0.255540704,0.159534663,0.0034,0.002
17.5,0.121104,0.090828,0.0036,0.0021,0.272812578,0.167856102,0.0036,0.0021
17.6,0.1225,0.091875,0.0037,0.0023,0.280012454,0.185996141,0.0037,0.0023
17.7,0.123904,0.092928,0.0039,0.0024,0.297042033,0.194055585,0.0039,0.0024
17.8,0.125316,0.093987,0.004,0.0025,0.304002013,0.202035233,0.004,0.0025
17.9,0.126736,0.095052,0.0042,0.0027,0.320794072,0.219836864,0.0042,0.0027
18,0.128164,0.096123,0.0044,0.0028,0.337419874,0.227561251,0.0044,0.0028
18.1,0.1296,0.0972,0.0045,0.003,0.343980073,0.24511015,0.0045,0.003
18.2,0.131044,0.098283,0.0047,0.0031,0.36037631,0.252584307,0.0047,0.0031
18.3,0.132496,0.099372,0.0049,0.0033,0.376610208,0.269885452,0.0049,0.0033
18.4,0.133956,0.100467,0.0051,0.0035,0.392683374,0.287015299,0.0051,0.0035
18.5,0.135424,0.101568,0.0053,0.0037,0.4085974,0.303975544,0.0053,0.0037
18.6,0.1369,0.102675,0.0055,0.0039,0.424353861,0.320767865,0.0055,0.0039
18.7,0.138384,0.103788,0.0057,0.0041,0.439954318,0.337393926,0.0057,0.0041
18.8,0.139876,0.104907,0.0059,0.0043,0.455400315,0.353855372,0.0059,0.0043
18.9,0.141376,0.106032,0.0061,0.0045,0.470693381,0.370153834,0.0061,0.0045
19,0.142884,0.107163,0.0063,0.0047,0.485835031,0.386290925,0.0063,0.0047
19.1,0.1444,0.1083,0.0065,0.0049,0.500826763,0.402268242,0.0065,0.0049
19.2,0.145924,0.109443,0.0068,0.0051,0.525571053,0.418087369,0.0068,0.0051
19.3,0.147456,0.110592,0.007,0.0053,0.540169359,0.43374987,0.007,0.0053
19.4,0.148996,0.111747,0.0071,0.0056,0.544722138,0.459158287,0.0071,0.0056
19.5,0.150544,0.112908,0.0073,0.0059,0.559130829,0.484315136,0.0073,0.0059
19.6,0.1521,0.114075,0.0076,0.0061,0.583297851,0.499321916,0.0076,0.0061
19.7,0.153664,0.115248,0.0078,0.0064,0.597324605,0.524081105,0.0078,0.0064
19.8,0.155236,0.116427,0.008,0.0066,0.61121248,0.538694164,0.008,0.0066
19.9,0.156816,0.117612,0.0083,0.0069,0.634863842,0.563063528,0.0083,0.0069
20,0.158404,0.118803,0.0085,0.0071,0.648380041,0.577290622,0.0085,0.0071
20.1,0.16,0.12,0.0088,0.0074,0.671663407,0.601277844,0.0088,0.0074
20.2,0.161604,0.121203,0.009,0.0078,0.684815255,0.634928558,0.009,0.0078
20.3,0.163216,0.122412,0.0092,0.0081,0.697836886,0.658345107,0.0092,0.0081
20.4,0.164836,0.123627,0.0095,0.0084,0.72063058,0.681529809,0.0095,0.0084
20.5,0.166464,0.124848,0.0098,0.0087,0.743198594,0.704484959,0.0098,0.0087
20.6,0.1681,0.126075,0.0101,0.0089,0.765543162,0.717311841,0.0101,0.0089
20.7,0.169744,0.127308,0.0104,0.0093,0.787666497,0.749813704,0.0104,0.0093
20.8,0.171396,0.128547,0.0107,0.0097,0.80957079,0.781993766,0.0107,0.0097
20.9,0.173056,0.129792,0.011,0.0101,0.831258208,0.813855214,0.011,0.0101
21,0.174724,0.131043,0.0112,0.0104,0.842829908,0.835500212,0.0112,0.0104
21.1,0.1764,0.1323,0.0116,0.0108,0.874089018,0.866831893,0.0116,0.0108
21.2,0.178084,0.133563,0.0119,0.0112,0.895137642,0.89785336,0.0119,0.0112
21.3,0.179776,0.134832,0.0123,0.0115,0.925878853,0.918666693,0.0123,0.0115
21.4,0.181476,0.136107,0.0127,0.012,0.956315696,0.959075933,0.0127,0.012
21.5,0.183184,0.137388,0.0131,0.0125,0.986451184,0.999085082,0.0131,0.0125
21.6,0.1849,0.138675,0.0135,0.0129,1.016288301,1.028797111,0.0135,0.0129
21.7,0.186624,0.139968,0.014,0.0133,1.055730992,1.058214962,0.014,0.0133
21.8,0.188356,0.141267,0.0144,0.0138,1.08488217,1.097242536,0.0144,0.0138
21.9,0.190096,0.142572,0.0149,0.0143,1.123645713,1.135883699,0.0149,0.0143
22,0.191844,0.143883,0.0153,0.0148,1.152124468,1.174142277,0.0153,0.0148
22.1,0.1936,0.1452,0.0159,0.0153,1.200123236,1.212022056,0.0159,0.0153
22.2,0.195364,0.146523,0.0164,0.0159,1.237745778,1.259427778,0.0164,0.0159
22.3,0.197136,0.147852,0.0169,0.0164,1.27499582,1.296463147,0.0169,0.0164
22.4,0.198916,0.149187,0.0175,0.0169,1.321778039,1.333131829,0.0175,0.0169
22.5,0.200704,0.150528,0.018,0.0174,1.358196079,1.369437454,0.018,0.0174
22.6,0.2025,0.151875,0.0186,0.018,1.404154533,1.415284608,0.0186,0.018
22.7,0.204304,0.153228,0.0192,0.0185,1.449657954,1.45077684,0.0192,0.0185
22.8,0.206116,0.154587,0.0198,0.019,1.494710845,1.485917663,0.0198,0.019
22.9,0.207936,0.155952,0.0203,0.0196,1.529416678,1.530611547,0.0203,0.0196
23,0.209764,0.157323,0.0209,0.0202,1.57367988,1.574862918,0.0209,0.0202
23.1,0.2116,0.1587,0.0214,0.0207,1.607603841,1.608775167,0.0214,0.0207
23.2,0.213444,0.160083,0.0221,0.0213,1.660993902,1.65225264,0.0221,0.0213
